time;price;sell_now;sell_after;value;strategy
0;100.0;20.0;20.6693;20.6693;0
1;105.0;25.0;25.2741;25.2741;0
1;95.0;15.0;16.0645;16.0645;0
2;110.25;30.25;30.3324;30.3324;0
2;99.75;19.75;20.2158;20.2158;0
2;90.25;10.25;11.9132;11.9132;0
3;115.7625;35.7625;35.7763;35.7763;0
3;104.7375;24.7375;24.8886;24.8886;0
3;94.7625;14.7625;15.543;15.543;0
3;85.7375;5.7375;8.2834;8.2834;0
4;121.5506;41.5506;41.5506;41.5506;1
4;109.9744;29.9744;30.0019;30.0019;0
4;99.5006;19.5006;19.7752;19.7752;0
4;90.0244;10.0244;11.3108;11.3108;0
4;81.4506;1.4506;5.2559;5.2559;0
5;127.6281;47.6281;47.6281;47.6281;1
5;115.4731;35.4731;35.4731;35.4731;1
5;104.4757;24.4757;24.5307;24.5307;0
5;104.4756;24.4756;24.5306;24.5306;0
5;94.5256;14.5256;15.0199;15.0199;0
5;85.5232;5.5232;7.6017;7.6017;0
5;85.5231;5.5231;7.6016;7.6016;0
5;77.3781;-2.6219;2.9101;2.9101;0
6;134.0095;54.0095;54.0095;54.0095;1
6;121.2467;41.2467;41.2467;41.2467;1
6;121.2468;41.2468;41.2468;41.2468;1
6;109.6994;29.6994;29.6994;29.6994;1
6;109.6995;29.6995;29.6995;29.6995;1
6;99.2519;19.2519;19.3619;19.3619;0
6;99.2518;19.2518;19.3618;19.3618;0
6;89.7993;9.7993;10.6779;10.6779;0
6;89.7994;9.7994;10.678;10.678;0
6;81.247;1.247;4.5254;4.5254;0
6;81.2469;1.2469;4.5254;4.5254;0
6;73.5092;-6.4908;1.2948;1.2948;0
7;140.71;60.71;60.71;60.71;1
7;127.309;47.309;47.309;47.309;1
7;115.1844;35.1844;35.1844;35.1844;1
7;127.3091;47.3091;47.3091;47.3091;1
7;115.1845;35.1845;35.1845;35.1845;1
7;104.2144;24.2144;24.2144;24.2144;1
7;104.2145;24.2145;24.2145;24.2145;1
7;94.2893;14.2893;14.5093;14.5093;0
7;94.2892;14.2892;14.5092;14.5092;0
7;85.3093;5.3093;6.8466;6.8466;0
7;94.2894;14.2894;14.5094;14.5094;0
7;85.3094;5.3094;6.8466;6.8466;0
7;77.1846;-2.8154;2.2043;2.2043;0
7;85.3092;5.3092;6.8466;6.8466;0
7;77.1847;-2.8153;2.2043;2.2043;0
7;69.8337;-10.1663;0.3852;0.3852;0
8;147.7455;67.7455;67.7455;67.7455;1
8;133.6745;53.6745;53.6745;53.6745;1
8;120.9435;40.9435;40.9435;40.9435;1
8;120.9436;40.9436;40.9436;40.9436;1
8;109.4252;29.4252;29.4252;29.4252;1
8;133.6746;53.6746;53.6746;53.6746;1
8;120.9437;40.9437;40.9437;40.9437;1
8;109.4253;29.4253;29.4253;29.4253;1
8;109.4251;29.4251;29.4251;29.4251;1
8;99.0037;19.0037;19.0037;19.0037;1
8;99.0038;19.0038;19.0038;19.0038;1
8;89.5748;9.5748;10.0148;10.0148;0
8;89.5747;9.5747;10.0148;10.0148;0
8;81.0438;1.0438;3.6784;3.6784;0
8;99.0039;19.0039;19.0039;19.0039;1
8;89.5749;9.5749;10.0149;10.0149;0
8;81.0439;1.0439;3.6784;3.6784;0
8;73.3254;-6.6746;0.7303;0.7303;0
8;81.0437;1.0437;3.6783;3.6783;0
8;73.3255;-6.6745;0.7303;0.7303;0
8;66.342;-13.658;0.04;0.04;0
9;155.1328;75.1328;75.1328;75.1328;1
9;140.3582;60.3582;60.3582;60.3582;1
9;126.9908;46.9908;46.9908;46.9908;1
9;126.9907;46.9907;46.9907;46.9907;1
9;114.8963;34.8963;34.8963;34.8963;1
9;114.8964;34.8964;34.8964;34.8964;1
9;114.8965;34.8965;34.8965;34.8965;1
9;103.9539;23.9539;23.9539;23.9539;1
9;140.3583;60.3583;60.3583;60.3583;1
9;126.9909;46.9909;46.9909;46.9909;1
9;114.8966;34.8966;34.8966;34.8966;1
9;103.954;23.954;23.954;23.954;1
9;103.9538;23.9538;23.9538;23.9538;1
9;94.0535;14.0535;14.0535;14.0535;1
9;94.0536;14.0536;14.0536;14.0536;1
9;85.0961;5.0961;5.9762;5.9762;0
9;94.0534;14.0534;14.0534;14.0534;1
9;85.096;5.096;5.9761;5.9761;0
9;76.9916;-3.0084;1.3807;1.3807;0
9;103.9541;23.9541;23.9541;23.9541;1
9;94.0537;14.0537;14.0537;14.0537;1
9;85.0962;5.0962;5.9763;5.9763;0
9;76.9917;-3.0083;1.3807;1.3807;0
9;69.6591;-10.3409;0.0799;0.0799;0
9;85.0959;5.0959;5.976;5.976;0
9;76.9915;-3.0085;1.3806;1.3806;0
9;76.9918;-3.0082;1.3807;1.3807;0
9;69.6592;-10.3408;0.0799;0.0799;0
9;63.0249;-16.9751;0.0;0.0;0
10;162.8894;82.8894;82.8894;82.8894;1
10;147.3762;67.3762;67.3762;67.3762;1
10;147.3761;67.3761;67.3761;67.3761;1
10;133.3403;53.3403;53.3403;53.3403;1
10;120.6413;40.6413;40.6413;40.6413;1
10;133.3402;53.3402;53.3402;53.3402;1
10;120.6412;40.6412;40.6412;40.6412;1
10;120.6411;40.6411;40.6411;40.6411;1
10;109.1515;29.1515;29.1515;29.1515;1
10;109.1516;29.1516;29.1516;29.1516;1
10;109.1517;29.1517;29.1517;29.1517;1
10;98.7562;18.7562;18.7562;18.7562;1
10;133.3404;53.3404;53.3404;53.3404;1
10;120.6414;40.6414;40.6414;40.6414;1
10;109.1518;29.1518;29.1518;29.1518;1
10;98.7563;18.7563;18.7563;18.7563;1
10;98.7561;18.7561;18.7561;18.7561;1
10;89.3508;9.3508;9.3508;9.3508;1
10;89.3509;9.3509;9.3509;9.3509;1
10;80.8413;0.8413;2.6015;2.6015;0
10;89.3507;9.3507;9.3507;9.3507;1
10;80.8412;0.8412;2.6015;2.6015;0
10;73.142;-6.858;0.1598;0.1598;0
10;98.7564;18.7564;18.7564;18.7564;1
10;89.351;9.351;9.351;9.351;1
10;80.8414;0.8414;2.6016;2.6016;0
10;73.1421;-6.8579;0.1598;0.1598;0
10;66.1761;-13.8239;0.0;0.0;0
10;80.8411;0.8411;2.6014;2.6014;0
10;73.1419;-6.8581;0.1598;0.1598;0
10;73.1422;-6.8578;0.1598;0.1598;0
10;66.1762;-13.8238;0.0;0.0;0
10;59.8737;-20.1263;0.0;0.0;0
11;171.0339;91.0339;91.0339;91.0339;1
11;154.7449;74.7449;74.7449;74.7449;1
11;154.745;74.745;74.745;74.745;1
11;140.0074;60.0074;60.0074;60.0074;1
11;140.0073;60.0073;60.0073;60.0073;1
11;126.6733;46.6733;46.6733;46.6733;1
11;126.6734;46.6734;46.6734;46.6734;1
11;114.6092;34.6092;34.6092;34.6092;1
11;140.0072;60.0072;60.0072;60.0072;1
11;126.6732;46.6732;46.6732;46.6732;1
11;114.6091;34.6091;34.6091;34.6091;1
11;114.609;34.609;34.609;34.609;1
11;103.6939;23.6939;23.6939;23.6939;1
11;103.694;23.694;23.694;23.694;1
11;114.6093;34.6093;34.6093;34.6093;1
11;103.6941;23.6941;23.6941;23.6941;1
11;93.8184;13.8184;13.8184;13.8184;1
11;126.6735;46.6735;46.6735;46.6735;1
11;114.6094;34.6094;34.6094;34.6094;1
11;103.6942;23.6942;23.6942;23.6942;1
11;93.8185;13.8185;13.8185;13.8185;1
11;93.8183;13.8183;13.8183;13.8183;1
11;84.8833;4.8833;4.8833;4.8833;1
11;84.8834;4.8834;4.8834;4.8834;1
11;76.7992;-3.2008;0.3196;0.3196;0
11;93.8182;13.8182;13.8182;13.8182;1
11;84.8832;4.8832;4.8832;4.8832;1
11;76.7991;-3.2009;0.3196;0.3196;0
11;69.4849;-10.5151;0.0;0.0;0
11;93.8186;13.8186;13.8186;13.8186;1
11;84.8835;4.8835;4.8835;4.8835;1
11;76.7993;-3.2007;0.3196;0.3196;0
11;69.485;-10.515;0.0;0.0;0
11;62.8673;-17.1327;0.0;0.0;0
11;76.799;-3.201;0.3195;0.3195;0
11;69.4848;-10.5152;0.0;0.0;0
11;69.4851;-10.5149;0.0;0.0;0
11;62.8674;-17.1326;0.0;0.0;0
11;56.88;-23.12;0.0;0.0;0
12;179.5856;99.5856;0.0;99.5856;1
12;162.4822;82.4822;0.0;82.4822;1
12;162.4821;82.4821;0.0;82.4821;1
12;147.0077;67.0077;0.0;67.0077;1
12;162.4823;82.4823;0.0;82.4823;1
12;147.0078;67.0078;0.0;67.0078;1
12;133.007;53.007;0.0;53.007;1
12;133.0069;53.0069;0.0;53.0069;1
12;120.3396;40.3396;0.0;40.3396;1
12;133.0071;53.0071;0.0;53.0071;1
12;120.3397;40.3397;0.0;40.3397;1
12;108.8787;28.8787;0.0;28.8787;1
12;147.0076;67.0076;0.0;67.0076;1
12;133.0068;53.0068;0.0;53.0068;1
12;120.3395;40.3395;0.0;40.3395;1
12;108.8786;28.8786;0.0;28.8786;1
12;120.3394;40.3394;0.0;40.3394;1
12;108.8785;28.8785;0.0;28.8785;1
12;98.5092;18.5092;0.0;18.5092;1
12;98.5093;18.5093;0.0;18.5093;1
12;120.3398;40.3398;0.0;40.3398;1
12;108.8788;28.8788;0.0;28.8788;1
12;98.5094;18.5094;0.0;18.5094;1
12;89.1275;9.1275;0.0;9.1275;1
12;133.0072;53.0072;0.0;53.0072;1
12;120.3399;40.3399;0.0;40.3399;1
12;108.8789;28.8789;0.0;28.8789;1
12;98.5095;18.5095;0.0;18.5095;1
12;89.1276;9.1276;0.0;9.1276;1
12;89.1274;9.1274;0.0;9.1274;1
12;80.6391;0.6391;0.0;0.6391;1
12;80.6392;0.6392;0.0;0.6392;1
12;72.9592;-7.0408;0.0;0.0;0
12;98.5091;18.5091;0.0;18.5091;1
12;89.1273;9.1273;0.0;9.1273;1
12;80.639;0.639;0.0;0.639;1
12;72.9591;-7.0409;0.0;0.0;0
12;66.0107;-13.9893;0.0;0.0;0
12;89.1277;9.1277;0.0;9.1277;1
12;80.6393;0.6393;0.0;0.6393;1
12;72.9593;-7.0407;0.0;0.0;0
12;66.0108;-13.9892;0.0;0.0;0
12;59.7239;-20.2761;0.0;0.0;0
12;72.959;-7.041;0.0;0.0;0
12;66.0106;-13.9894;0.0;0.0;0
12;72.9594;-7.0406;0.0;0.0;0
12;59.724;-20.276;0.0;0.0;0
12;54.036;-25.964;0.0;0.0;0
